radius1,smoothness1
10.88,0.1007
12.83,0.0904
14.2,0.08931
13.9,0.06828
11.49,0.1046
16.25,0.1026
12.16,0.09087
13.9,0.07991
13.47,0.1071
13.7,0.0995
15.73,0.1043
12.45,0.09514
14.64,0.08641
19.44,0.1089
11.68,0.1128
16.69,0.07497
12.25,0.08192
17.85,0.07838
18.01,0.1001
12.46,0.07372
13.16,0.07335
14.87,0.09587
12.65,0.1076
12.47,0.08928
18.49,0.1012
20.59,0.1085
15.04,0.09883
13.82,0.1162
12.54,0.1158
23.09,0.09342
9.268,0.1634
9.676,0.1255
12.22,0.1096
11.06,0.1194
16.3,0.09427
15.46,0.1183
11.74,0.08099
14.81,0.08472
13.4,0.1106
14.58,0.09832
15.05,0.09215
11.34,0.1049
18.31,0.1068
19.89,0.1037
12.88,0.1218
12.75,0.1125
9.295,0.1371
24.63,0.103
11.26,0.08511
13.71,0.09916
9.847,0.09492
8.571,0.1036
13.46,0.1075
12.34,0.09003
13.94,0.1248
12.07,0.11
11.75,0.1073
11.67,0.1016
13.68,0.09277
20.47,0.09156
10.96,0.09687
20.55,0.1046
14.27,0.1038
11.69,0.1236
7.729,0.08098
7.691,0.08668
11.54,0.09984
14.47,0.08837
14.74,0.08275
13.21,0.08671
13.87,0.09578
13.62,0.09246
10.32,0.09434
10.26,0.08877
9.683,0.08491
10.82,0.08192
10.86,0.07431
11.13,0.09566
12.77,0.08276
9.333,0.0924
12.88,0.08123
10.29,0.0903
10.16,0.1003
9.423,0.08123
14.59,0.08473
11.51,0.09261
14.05,0.09929
11.2,0.07449
15.22,0.1048
20.92,0.1099
21.56,0.111
20.13,0.0978
16.6,0.08455
20.6,0.1178
7.76,0.05263
